timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.000000,-2.783109,34.978355,33.588761,99.951160,70.824700
0.033333,-2.783109,34.978355,33.588761,99.951160,70.824700
0.066667,-2.783109,34.978355,33.588761,99.951160,70.824700
0.100000,-2.783109,34.978355,33.588761,99.951160,70.824700
0.133333,-2.783109,34.978355,33.588761,99.951160,70.824700
0.166667,-2.783109,34.978355,33.588761,99.951160,70.824700
0.200000,-2.783109,34.978355,33.588761,99.951160,70.824700
0.233333,-2.783109,34.978355,33.588761,99.951160,70.824700
0.266667,-2.783109,34.978355,33.588761,99.951160,70.824700
0.300000,-2.783109,34.978355,33.588761,99.951160,70.824700
0.333333,-2.783109,34.978355,33.588761,99.951160,70.824700
0.366667,-2.783109,34.978355,33.588761,99.951160,70.824700
0.400000,-2.783109,34.978355,33.588761,99.951160,70.824700
0.433333,-2.783109,34.978355,33.588761,99.951160,70.824700
0.466667,-2.783109,34.978355,33.588761,99.951160,70.824700
0.500000,-2.783109,34.978355,33.588761,99.951160,70.824700
0.533333,-2.783109,34.978355,33.588761,99.951160,70.824700
0.566667,-2.783109,34.978355,33.588761,99.951160,70.824700
0.600000,-2.783109,34.978355,33.588761,99.951160,70.824700
0.633333,-2.783109,34.978355,33.588761,99.951160,70.824700
0.666667,-2.783109,34.978355,33.588761,99.951160,70.824700
0.700000,-2.783109,34.978355,33.588761,99.951160,70.824700
0.733333,-2.783109,34.978355,33.588761,99.951160,70.824700
0.766667,-2.783109,34.978355,33.588761,99.951160,70.824700
0.800000,-2.783109,34.978355,33.588761,99.951160,70.824700
0.833333,-2.783109,34.978355,33.588761,99.951160,70.824700
0.866667,-2.783109,34.978355,33.588761,99.951160,70.824700
0.900000,-2.783109,34.978355,33.588761,99.951160,70.824700
0.933333,-2.783109,34.978355,33.588761,99.951160,70.824700
0.966667,-2.783109,34.978355,33.588761,99.951160,70.824700
